company_name,job_title,city,company_location,salary,snippet
TECH AVEEV LLC,UX/UI Designer,Remote,Remote,,"UX software: 8 years (Preferred).Expertise in standard UX software such as Sketch, OmniGraffle, Axure, InVision, UXPin, Balsamiq, and the Adobe Suite."
CCS GLOBAL TECH,Information Security Analyst,Eielson AFB, AK,"$60,288 - $80,000 a year",Appointed in writing by the Enterprise Information System Security Manager (ISSM) as the Information System Security Officer (ISSO) for the CE control system…
Law Offices of Jacob Emrani,IT Specialist,Los Angeles, CA 90015 (Downtown area),From $16 an hour,Provide orientation and guidance to users on how to operate new software and computer equipment.IT software: 2 years (Preferred).
Talent IT Hub,React/UI Developer,Chicago, IL,$50 - $60 an hour,Should know React /react native on a deeper level and how react works and how the pipelines are build.Setup build pipelines from scratch.
Durham County,INFORMATION TECHNOLOGY PROJECT MANAGER,Durham, NC,"$53,118 - $95,612 a year",Proven ability to collaborate and build project teams.This person will lead specific projects on behalf of the County while working with leadership and project…
Ericsson,Wireless Protocol Engineer,Austin, TX 78759 (Arboretum area),,"This role consists of designing, implementing, and integrating software functionality for Ericsson’s products especially the physical layer in baseband protocol…"
Teleperformance,Vice President of Business Development l REMOTE,Plainfield, NJ 07063,,Generating new opportunities from previous contacts and developing new contacts.Working with marketing and demand generation to develop strategies that target…
Oak Ridge National Laboratory,DevOps Engineer,Oak Ridge, TN 37830,,"Familiarity with scalable databases, scalable index and search solutions, and frameworks that integrate these capabilities."
Lincoln Financial,Full Stack Developer (Remote),Radnor, PA,"$74,101 - $137,900 a year","Maintaining abreast of cutting-edge technologies and industry trends.3-5+ years developing and maintaining scalable, robust, production quality three-tier…"
CCS GLOBAL TECH,Network Engineer,Fort Walton Beach, FL,"$56,197 - $110,000 a year",Provide flexible and scalable services for all SOF site-unique requirements.Establish flexible and scalable contracts.Layer 2/3 routers and switches*.
Capgemini,UI / Web Dev Architect - React,New York, NY,,Keep up to date on cutting edge technologies like cloud native DevOps CICD Mobile frameworks Web Frameworks Microservices DevSecOps etc.
Gulfstream Aerospace Corporation,Simulation Engineer,Savannah, GA,,"Willing to work with lab customers to resolve problem reports by troubleshooting, determining solutions, implementing, verifying and coordinating with customers…"
General Motors,System Engineer - Chassis Braking & Vehicle Dynamics,Milford, DE,,"3 or more years of embedded control systems, software, electromechanical devices and electrical devices experience."
KrishAnsh,API Architect,San Jose, CA,,"Should be able to articulate various aspect of REST – like usage of verbs, how to design resources, how data model should be, etc."
Zachary Piper Solutions,SharePoint Farm Administrator,Pearl Harbor, HI,"$85,000 - $95,000 a year","We are looking for a Full Time Employee to provide SharePoint farm administration, farm planning and implementation, installation and configuration on both…"
Applied Industrial Technologies,Electronic Data Interchange (EDI) Analyst,Cleveland, OH 44115 (Goodrich-Kirkland Park area),,"Knowledge of EDI/HQ Translator software a plus.You will be the main point of contact for trading partner onboarding, support, and will be responsible for…"
LivePerson,Cloud Data Architect,Remote,New York State,,We provide competitive benefits and paid time-off that enables our family to take the time they need to recharge.Ability to understand complex system designs.
Novo Nordisk,Facilities Engineer I - Clean Utilities API,Clayton, NC,,"If you have yet to be vaccinated, you will receive information on how to submit your record prior to the December 8th deadline on your first day of New Hire…"
PetSuites,Pet Host (Customer Service-Front Desk),San Antonio, TX 78251,,"A passion for animals and animal care, especially dogs + cats.The principal duties are to handle check-in for arrival clients, handle check-out for departing…"
DIRECTV,Principal-Software Engineer,El Segundo, CA 90245,,"Supports the software deployment process.Key Roles and Responsibilities: Collaborate to gather and review software requirements/user stories, provide estimates…"
Piper Companies,"Systems Engineer, Mid (Secret clearance)",Chantilly, VA,,"Serve as a subject matter expert for software and hardware development efforts.Support technical leadership with monitoring of complex projects, spanning…"
Oak Ridge National Laboratory,Postdoctoral Research Associate - Machine Learning & Al,Oak Ridge, TN 37830,,"We are seeking a Postdoctoral Research Associate who will support the Learning Systems Group in the Computer Science and Mathematics Division (CSMD), Computing…"
Oak Ridge National Laboratory,"HPC Storage Systems Engineer, Clusters Group",Oak Ridge, TN 37830,,Experience with continuous integration and continuous deployment software methodologies and how they apply to systems engineering.
KrishAnsh,SAP Developer,Remote,Maryland,,Experience Required 8 to 10 years.Industries Type Banking / Financial Services.Education UG - Any Graduate - Any Specialization PG - Post Graduation Not…
LivePerson,Cloud Data Architect,Remote,New York State,,Expertise in two or more of the following data and analytics technologies:LivePerson is a transformational force in how brands and consumers communicate.
Oak Ridge National Laboratory,"Senior HPC Linux System Engineer, Infrastructure and Network...",Oak Ridge, TN 37830,,Experience with continuous integration and continuous deployment software methodologies and how they apply to systems engineering.
Nexteer Automotive Corporation,Senior Systems Engineer - Core Development (2021),Saginaw, MI,,"Use cutting-edge tools to show and improve requirements traceability, architecture designs, and relationships between subsystems."
Nexteer Automotive Corporation,Systems Engineer - Core Development (2021),Saginaw, MI,,"Use cutting-edge tools to show and improve requirements traceability, architecture designs, and relationships between subsystems."
TCP Software,Software Engineer I,Remote,Remote,,"Testing new software and fixing bugs.1-3 years of software development experience preferred.We recently embraced our new, refreshed brand which we feel fully…"
echo3D,Software Engineer,New York, NY 10014 (West Village area),"$100,000 - $140,000 a year","Echo3D is a cloud platform for 3D/AR/VR that provides tools and network infrastructure to help developers & companies quickly build and deploy 3D apps, games,…"
FREEDOM CONSULTING GROUP,Software Engineer (Freedom Will Sponsor Clearance) (100-2),Columbia, MD 21046,,"Work with innovative, cutting edge technologies.Utilizes software development and software design methodologies appropriate to the development environment."
BRM,Software Executive,Scottsdale, AZ 85255 (North Scottsdale area),"$70,000 - $150,000 a year",We are looking for an experienced Software Executive to help build & take a construction tech solution startup to market.The right candidate will have / be:
Exact Sciences Corporation,Systems Software Engineer I,Madison, WI 53719,,Internship as a software developer.Experience or project courses developing embedded software.Follow all aspects of the software development lifecycle.
CruiTek,Software Architect (Remote),Remote,Remote,,"What you’d want to learn about first, how you’d organize your work, how you’d communicate with us, how you’d report deliverables completed."
PredICT Interactive,Front End Developers,Wichita, KS 67202,,"Collaborate daily with other frontend developers, backend developers, and our data team across the full software development lifecycle."
Braintrust,Java Software Engineer (NO C2C),San Francisco, CA 94147 (Marina area),$100 - $135 an hour,We've been onboarding some big clients and specifically need a Java Software Engineer for our client.4+ years of experience as a professional software engineer…
Solution Builders,Help Desk Support Specialist,Bloomington, MN,,"The Help Desk Support Specialist is responsible for handling and resolving first level support service requests for all technology, including Windows servers,…"
FANUC America Corporation,Engineer / Senior Engineer- Software/Controls,Baltimore, MD,,Ability to design and engineer controls and software for factory automation equipment.Schedule in person presentations and technical reviews of the applicable…
Circadence Corporation,Systems Administrator,Huntsville, AL 35808,"$100,000 - $135,000 a year","Compensation: $100,000 - $135,000 Circadence is proud to offer medical, vision, and dental insurance, 401(k) plan with company matching, life and accidental…"
Start Studios Web,AI Engineer,Indianapolis, IN 46220 (Fairgrounds area),$17 - $30 an hour,"Knowledge of big data tools and technologies.In-depth knowledge of ML frameworks, libraries, data structures, and software architecture."
Ticketmaster,Sr. Software Engineer,Hollywood, CA 90028,,"Previous tenure as a DevOps, platform engineer or backend/frontend software engineer who likes to explore the database platform area."
Falck USA,Application Specialist,Orange County, CA,,"Proficiency in use of the following software: Microsoft Office (Excel, Word, Outlook) required.Provides training on ePCR hardware and software to EMTs,…"
Dolby,QA Engineer,Remote,Colorado,"$85,000 - $116,000 a year",Software defects and end-to-end issues.Consumers around the world continue to shift their entertainment experiences to the Internet.
General Dynamics Information Technology,Deputy Program Manager,Remote,United States,"$140,000 - $210,000 a year",This provides DoD mission partners the latest scalable cloud technology and operates at Impact Level 5 and 6 of the Cloud Computing Security Requirements Guide.
Digital Brain,Wordpress Developer,New York, NY 11205 (Bedford Stuyvesant area),$18 - $29 an hour,"Knowledge of how to interact with RESTful APIs and formats (JSON, XML).Experience building user interfaces for websites and/or web applications."
Reynolds and Reynolds,Senior .NET Developer,Detroit, MI 48201 (Midtown area),,Review software code to ensure compliance with established standards.You will assist in application delivery using standard SDLC (software development life…
Reynolds and Reynolds,Entry Level Database Specialist - SQL,Dayton, OH 45430,,"You will also complete migration of customer data from one Reynolds hardware platform to another.As the Entry Level Database Specialist, you will be converting…"
General Dynamics Information Technology,"Director of Information Systems, Federal Health",Remote,United States,"$160,000 - $240,000 a year",Bring expertise to the team in a variety of cutting edge technologies to enhance infrastructure operations and efficiency.Perform data center tours as needed.
United Airlines Inc.,Scrum Master - IT,Chicago, IL 60601 (Loop area),,Proven ability in building effective partnership with diverse groups in multiple locations/environments.Quickly establish collaborative partnership with key…
ASAP/NetSource,Computer Desktop Support Technician,New York, NY 10153 (Midtown area),$20 - $22 an hour,Install antivirus software and ensure virus definitions are up to date.Identify and learn appropriate software and hardware used and supported by the…
General Dynamics Information Technology,Deputy Program Manager,Remote,United States,"$140,000 - $210,000 a year",This provides DoD mission partners the latest scalable cloud technology and operates at Impact Level 5 and 6 of the Cloud Computing Security Requirements Guide.
Ayar Labs,Photonic Test Development Engineer,Emeryville, CA 94608,,Ayar Labs is a startup company developing cutting-edge optical I/O technology to remove electrical I/O bottlenecks and continue the performance scaling that…
Paramount+,Distribution Business Intelligence Analyst,New York, NY 10019 (Midtown area),,2+ years experience in web analytics.Experience with web analytics tools such as Adobe Analytics (Omniture) or Google Analytics.BA/BS in related field.
FREEDOM CONSULTING GROUP,"Storage Administrator, Level 2 (66-7)",Arnold, MO,,"Generous paid time off – including paid site closure days.Amazing benefits including matching 401k, profit sharing, fully paid medical, and more."
Cimarron Software,Control Systems Engineer,Richland, WA 99354,,Experience with process control system software development.Review and prepare higher-tier engineering documents and drawings related to the Control Systems…
Circadence Corporation,Network Engineer,Huntsville, AL 35808,"$120,000 - $140,000 a year","Compensation: $120,000 - $140,000 Circadence is proud to offer medical, vision, and dental insurance, 401(k) plan with company matching, life and accidental…"
"OldProgrammer.io, LLC",DevOps Engineer,Valhalla, NY 10595,From $50 an hour,"As platform engineer you will maintain the necessary window drivers, the full runtime context, build pipelines of the application."
ASMGi,Service Desk Technician,Cleveland, OH 44114 (Downtown area),"$31,200 - $52,000 a year",The Service Desk Technician position requires a patient and stable work style and consistency in dealing with repetitive routine.
Braxton Science & Technology Group,DevOps Software Engineer,Alexandria, VA,,"The platform engineering team at SGSS is seeking a qualified DevOps software engineer for agile, hybrid-cloud development and test activities in a secure…"
Zoro Tools,"Software Engineer I, Backend",Chicago, IL 60603 (Loop area),,"0 - 2+ years experience as a software engineer.This means you have superb software engineering fundamentals, produce thoughtfully designed code that is…"
Boarhog LLC,Network Engineer,San Diego, CA 92110 (Old Town area),$45 - $50 an hour,Boarhog LLC is looking for a SECRET-cleared mid-level network engineer to work on a very exciting Air Force BITI project.Medical/dental/vision health premiums.
TARGET,Sr Java Engineer - dataPortal Data Sciences Product,Brooklyn Park, MN 55445 (Oak Grove area),,Follow Agile methodology for software development and technical documentation.Ownership and development of tested software systems employing CI/CD best…
Coastline Equipment,IT Applications Analyst,Long Beach, CA 90805 (North Long Beach area),,"Advanced skills in report development, business intelligence tools and application software.Maintain liaisons with technical staff and extended support…"
Wayfair,"Storefront, Customer Privacy, Product Manager",Remote,United States,,5+ years experience in software product management with a focus on data-driven product discovery and experience leading multi-team initiatives.
ventechsoft INC,Java/J2EE Developer,Irving, TX,"$71,004 - $120,000 a year","4+ years development experience ( 3years to 8 years exp).Testing experience – Cypress, Selenium, Jasmin, or TDD environment expert."
1904labs,Data Engineer (St. Louis or remote),St. Louis, MO 63136,,"Architecting and integrating big data pipelines.Analytics: Have working knowledge of analytics/reporting tools such as Tableau, Spotfire, Qlikview, etc."
Reynolds and Reynolds,Systems Engineer II,Detroit, MI 48201 (Midtown area),,"Develop and build relationships with non-IT and IT customers.Ideal candidate must have broad data center technology knowledge and experience, including server,…"
"Verifi, Inc.",Staff Java Software Engineer,Austin, TX 78701 (Downtown area),,"Developing, testing, and documenting software programs.Supporting and/or installs software applications/operating systems.Practice in Test-driven Development."
Streamline Defense,Data Engineer - Mid (TS/SCI req'd),Pearl Harbor, HI 96860 (Aiea area),,"The contractor will conduct data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical analysis, and uses…"
Fidelity Investments,Sr. Manager DevOps and API Solutions,Durham, NC 27709,,"Fidelity Digital Assets, a Fidelity Investments Company, is developing a full-service enterprise-grade platform for storing, trading, and servicing digital…"
TARGET,Lead Project Manager,Brooklyn Park, MN 55445 (Oak Grove area),,"Drive our response and incident management programs, and the programs on how we learn from failures and prevent future risk."
ESG Automotive Inc.,In-Vehicle Cyber Security Engineer,Dallas, TX,,"Employer paid Life and AD&D Insurance, Short-term and Long-term Disability Insurance.Generous paid time off package including Vacation, Personal/Sick, and…"
Synchrony,"AVP, Full Stack JEE Developer - Remote",Alpharetta, GA 30005,"$85,000 - $170,000 a year","That gap is filled by Full Stack Developers and Reliability Engineering, which applies software engineering principles to ensure high reliability and…"
Exact Sciences Corporation,DevOps Engineer,Phoenix, AZ 85004 (Central City area),,"The engineer creates, tests, and evaluates software applications and systems to make software programs function according to specific requirements."
Sounding Board Inc,"Senior Product Manager, Data Analytics",San Francisco, CA 94102 (Downtown area),,"8+ years of experience in product analytics, product management, big data or a similar role.Own the delivery for all the analytics and insights across all our…"
InComm Payments,DevOps Engineer,Atlanta, GA 30303 (Downtown area),,"Serve as escalation for configuration and troubleshooting software runtime environment, development, and incident support."
Wellpath,Analyst Data Governance,Nashville, TN 37217 (Una area),,"**The primary function of this position will be data governance, however the position will also be responsible for collaborating with the development team to…"
XPO Logistics,"Principal Architect, Enterprise Architecture",Chicago, IL 60601 (New Eastside area),,"5 years of experience architecting and developing scalable, distributed or web-based applications and architecture experience.NET Framework, MVC, Web API."
G&D Integrated,Application Developer,Morton, IL 61550,,Summary : The Developer position primarily involves the creation and delivery of functional or automated technology solutions via the utilization of some…
BCM Controls Corporation,Security Service Engineer,Woburn, MA 01801,,BCM leads the building systems marketplace with flexible systems based on understanding how a building will best serve its owners.
Sounding Board Inc,"Senior Product Manager, Data Analytics",San Francisco, CA 94102 (Downtown area),,"8+ years of experience in product analytics, product management, big data or a similar role.Own the delivery for all the analytics and insights across all our…"
Sephora,Senior Java Engineer,San Francisco, CA 94105 (Financial District/South Beach area),,"Prior experience in decomposing monolith application into micro services and deployed them in highly available, scalable and fault tolerant setup on cloud…"
United Hardware Distributing Company,PT Warehouse / IT Operations Support,Milbank, SD 57252,,"The community of Milbank offers a low cost of living, a wonderful school system, and a thriving economy with plenty of job opportunities."
HCA Healthcare,Director Network Engineering,Nashville, TN 37203,,Manage the execution of lifecycle tasks for hardware and software.Perform hardware and software changes per ITIL process guidelines using appropriate change…
1904labs,Data Engineer (St. Louis or remote),St. Louis, MO 63136,,"Architecting and integrating big data pipelines.Analytics: Have working knowledge of analytics/reporting tools such as Tableau, Spotfire, Qlikview, etc."
Fidelity Investments,Sr. Manager DevOps and API Solutions,Durham, NC 27709,,"Fidelity Digital Assets, a Fidelity Investments Company, is developing a full-service enterprise-grade platform for storing, trading, and servicing digital…"
Avellino Lab,"Sr Application Engineer, AI/ML",Menlo Park, CA,,"Develop collateral for evolution AI platform and architecture, including different types of machine learning and deep learning algorithms, input selection and…"
State of Indiana,UI Claims Investigator,Indianapolis, IN 46204 (Downtown area),"$36,244 a year",Determine what issues exist on an unemployment insurance claim;Review unemployment benefit charging information for accuracy; defend determinations during…
TARGET,Lead Project Manager,Brooklyn Park, MN 55445 (Oak Grove area),,"Drive our response and incident management programs, and the programs on how we learn from failures and prevent future risk."
American LegalNet Inc.,Director of Digital Marketing-Enterprise Cloud & Mobile Solu...,Encino, CA 91436,,"Maximize paid/organic search traffic and order conversion for e-commerce products, set, and meet a cost per acquisition target."
Together Labs,Senior DevOps Engineer,Redwood City, CA 94063,,"Experience managing applications in Amazon Web Services and familiarity with all of their core, compute, networking, storage, security, compliance, serverless,…"
ASMGi,Cyber Incident Response Analyst,Cleveland, OH 44114 (Downtown area),,"Ability to demonstrate strong computer knowledge networks, desktops, servers, cloud, and software as a service technology."
ConnectOne Bank,nCino/Salesforce.com Administrator,Englewood Cliffs, NJ 07632,,Proven problem-solving skills relating to data and software applications.Manage the loan life cycle within the nCino/Salesforce.com platform and introduce best…
"ShareThis, Inc",Manager/Tech Lead - FrontEnd,Palo Alto, CA 94304,,"Your task will be to design and implement an exciting new product for the AdTech and MarTech industries, building interactive and highly visual applications on…"
Talent Search PRO,Principal Product Owner,Tampa, FL,,Experience as a Product Owner in an Agile scrum or squad setting is preferred.Working Information Security experience in an engineering or operations…
"General Dynamics Mission Systems, Inc",Mission Architect - Systems Engineer,Fairfax, VA 22033,,"Bachelor’s degree in Systems Engineering, or a related Science, Engineering or Mathematics field.Agile experience preferred, plus a minimum of 10 years of…"
Cube Hub Inc,Supply Chain Specialist–I/II (Sup Enablement Specialist/Proc...,Raleigh, NC 27610 (Southeast area),,Domain Knowledge of B2B Procurement or eCommerce market and software packages.Understanding of hosted/punchout catalogs and how to integrate punchout catalogs…
PredICT Interactive,Back End Developers,Wichita, KS 67202,,"Develop enterprise-quality, horizontally scalable code using best practices, quickly and according to spec.Write, test, maintain and document reusable code in…"
Together Labs,Senior DevOps Engineer,Redwood City, CA 94063,,"Experience managing applications in Amazon Web Services and familiarity with all of their core, compute, networking, storage, security, compliance, serverless,…"
"General Dynamics Mission Systems, Inc",Mission Architect - Senior Principal Systems Engineer,Fairfax, VA 22033,,"This exciting and innovative program is leveraging best practices in system engineering, Digital Engineering processes and technology, Agile software…"
Osmose Utilities Services,Software Engineer - Remote,Remote,Remote,,"Strong computer science fundamentals: data structures, algorithms, programming languages, distributed systems, and information retrieval."
"JPMorgan Chase Bank, N.A.",Software Engineering,Plano, TX,,Collaborate with central technology and governance teams to determine priority of new platform features.Build proofs of concept and reference architectures to…
Raytheon Technologies,Software Engineer – Data Engineer,Cambridge, MA,"$65,500 - $123,500 a year","Optimizing software for high performance knowledge representation, reasoning, and predictive analytics.Proﬁciency in software development using Java and/or…"
Egnyte,Software Engineer (w/ GoLang) [US],Mountain View, CA 94043,,Minimum 4 years industry experience in software development roles.End-to-end experience in design and development of highly scalable enterprise and cloud data…
"JPMorgan Chase Bank, N.A.",Mobile Software Engineer,Chicago, IL,,"Identify and plan for new mobile features in React, iOS and Android (Kotlin).Develop application programming interfaces (APIs) to support mobile functionality."
Astreya,Software Asset Analyst II - Professional Services (Remote -...,Remote,Remote,,"Analyze, review and investigate inaccurate and/or missing information related to software assets.Collaborate with internal teams and assist in the data…"
Circa,Senior Software Engineer,Milwaukee, WI 53202,,"NET Core platform, feeling fluent in the core API.You have 5 or more years of experience in software development. you've got some background in React, Angular,…"
"Amazon Dev Center U.S., Inc.",Software Development Engineer I,Seattle, WA,,Design scalable and fault-tolerant platform components that will power full-stack applications for building compelling user experiences.
"JPMorgan Chase Bank, N.A.",Junior Machine Learning Software Engineer,Chicago, IL,,"As a junior level Machine Learning Software Engineer in the Corporate & Investment Bank, you will be responsible for modeling complex problems, discover…"
Procter & Gamble,Data Scientist,Cincinnati, OH 45201 (Central Business District area),,Additional perks include discounted P&G products from our company shops and a discount platform offering you unbeatable savings on everything from groceries to…
"Cast & Crew Entertainment Services, LLC","Director, IT Infrastructure & Operations",Burbank, CA 91504,,"Maintains adherence to software license agreements.Willing to be hands on when necessary to troubleshoot and resolve issues, especially in critical situations,…"
Brighthouse Financial,"IT Solutions Support (Charlotte, NC or Morristown, NJ or Ful...",Charlotte, NC 28277 (Piper Glen Estates area),,"Time Off: Minimum of 20 days of paid time off and 13 paid company holidays per full calendar year, plus paid volunteer time."
Backblaze,Lead Software Engineer,San Mateo, CA 94401 (Downtown area),,"Customer Focused (!!) — always focus on the customer’s point of view and how to solve their problem!Passionate about building friendly, easy to use Interfaces…"
"Connectria, LLC",Cloud Migration Engineer (Full-time/Direct Hire/Remote),Remote,Remote,,"1+ years of migration experience and have a passion for solving problems and working with data, files, and migration solutions."
Division of Information Technology - NYC...,Help Desk Technician,Queens, NY 11101,"$50,000 - $80,000 a year","Perform PC maintenance, software installation, upgrades and system support.Provide technical support to end-users of Microsoft products, DOHMH in-house…"
The Bridge Inc.,Programmer/Analyst,New York, NY 10030 (Harlem area),,Knowledge of system testing and software quality assurance best practices and methodologies.Ability to build upon existing source code and methods.
Facebook App,Engineering Manager,Menlo Park, CA,,Communicate cross-functionality and provide constructive feedback into how the product is designed and help craft solutions to difficult user experience and…
"JPMorgan Chase Bank, N.A.",IT Infrastructure Support,Columbus, OH,,"BS/BA degree or equivalent experience.Knowledge of application, data, and infrastructure architecture disciplines."
General Dynamics Electric Boat,Embedded Software Engineer,Groton, CT 06340,,"Software engineers will largely work with hardware systems, collaborating with systems engineers to deliver a variety of solutions to submarine platforms and…"
Allen Institute,Software Engineer III/IV – Machine Learning & Algorithms Eng...,Seattle, WA 98109 (South Lake Union area),,"We are seeking an exceptional, energetic and experienced machine learning and algorithms engineer who has a track record of building scalable and distributed…"
Vanderbilt University Medical Center,Data Specialist,Nashville, TN,,"Serves Others with Compassion: Invests time to understand the problems, needs of others and how to provide excellent service."
Tri-Cor Industries,IT Specialist (Junior),Springfield, VA 22150,,Schedules and coordinates customer desk-side support for the installation of new software or to performance hardware or software break/fix activities.
TDF,Senior Software Engineer,Los Angeles, CA,"$90,000 - $110,000 a year","Good knowledge of software testing principles.A solid grounding in computer science, with strong experience in a few of the following: software design patterns…"
Cvent,Senior Fullstack Software Engineer,Tysons Corner, VA 22102,,Senior Software Engineers are responsible for the design and development of the suite of cloud-based software products utilizing cutting-edge tools and…
"Mythics, Inc.",Senior Oracle Identity Management Consultant - REMOTE,Virginia Beach, VA 23462 (Thalia area),,Assist in the construction of the to-be physical and logical architecture models for the ICAM components and related systems/applications that support a highly…
"JPMorgan Chase Bank, N.A.",IT Infrastructure Support,Columbus, OH,,"Understanding of software skills such as business analysis, development, maintenance, and software improvement.Passionate about building an innovative culture."
Boston Medical Center,Application Analyst III,Boston, MA 02118 (South Boston area),,Maintains a current understanding of strategic business initiatives and how they relate to IT goals and objectives.
Allen Institute,Software Engineer III/IV – Machine Learning & Algorithms Eng...,Seattle, WA 98109 (South Lake Union area),,"We are seeking an exceptional, energetic and experienced machine learning and algorithms engineer who has a track record of building scalable and distributed…"
Abbott Laboratories,Senior Embedded Software Engineer,Alameda, CA,,8 plus years in software engineering.Solid knowledge of software engineering principles.Experience in software engineering management or technical leadership.
Tri-Cor Industries,IT Specialist (Junior),Springfield, VA 22150,,Schedules and coordinates customer desk-side support for the installation of new software or to performance hardware or software break/fix activities.
Deloitte,Supply Chain Data Governance and Quality - Consultant,Indianapolis, IN 46204 (Downtown area),,"Experience developing analytics on Cloud platform such as Azure, AWS, GCP.The Analytics & Cognitive team leverages the power of data, analytics, robotics,…"
Deloitte,Senior Data Labeler,St. Louis, MO 63102 (Near North Riverfront area),,"At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best…"
Abbott Laboratories,Staff Embedded Software Engineer,Alameda, CA,,Experience testing software is a plus.Knowledge of the principles of quality software engineering as described by software lifecycle development processes that…
"JPMorgan Chase Bank, N.A.",Software Engineer -Vice President,Jersey City, NJ,,"We're looking for an exceptional technologist who has a strong interest in digital technologies, can think big and execute on that vision, and thrives on new…"
"JPMorgan Chase Bank, N.A.",Information Security Management,Columbus, OH,,"Working in Information Security Management, you'll design and implement processes and tools that safeguard the firm's computing environment."
Amazon.com Services LLC,Data Program Manager,Bellevue, WA,,"Working knowledge of reporting software like Tableau or Quicksight.You will investigate large amounts of data, discover and solve real world problems, and…"
Citi,Estate Management - Apps Dev Sr. Programmer Analyst,Tampa, FL,,Experience in systems analysis and programming of software applications.The Applications Development Senior Programmer Analyst is an intermediate level…
Cvent,Application Support Engineer,Tysons Corner, VA 22102,,Assist operations and development teams with debugging software issues.Provide top-tier software support for Cvent’s product offerings to our customer service…
"JPMorgan Chase Bank, N.A.",Lead Software Site Reliability Engineer,Columbus, OH,,"Provide technical expertise throughout the software lifecycle including design, implementation, and delivery.Understanding Cloud Applications and Technologies,…"
Amazon.com Services LLC,"Senior Product Manager, Amazon Studios Technology",Culver City, CA 90230,,Experience in building software products in the Media & Entertainment industry.You will be encouraged and challenged to see the big picture push innovation.
"JPMorgan Chase Bank, N.A.",CB Digital Product Design Associate (New York or Palo Alto),Palo Alto, CA,,"Video editing skills (iMovie, FinalCutPro, or other video editing software).Apply, maintain, and build upon design systems to ensure consistent designs."
Facebook App,Engineering Manager,Menlo Park, CA,,Communicate cross-functionality and provide constructive feedback into how the product is designed and help craft solutions to difficult user experience and…
DMD Marketing,Data Steward,Rosemont, IL 60018,,"Proven ability to remain flexible and be comfortable with ambiguity within a very demanding, constantly changing environment.1+ years’ experience using Java."
Zendesk,Senior Business Systems Analyst,Remote,Remote,,"Work closely with the Go-To-Market Operations teams and lead requirements gathering, solution design, and implementation of major projects on the Salesforce.com…"
Henkel,"Digital Designer - SexyHair, #Mydentity, STMNT",Culver City, CA 90230,,"Self-motivating with an elevated level of passion and assertiveness.This position is responsible for delivering effective, on-brand aesthetic and on-strategy…"
Deloitte,RMF Security Engineer,Lake Mary, FL,,Our Cyber Application Security team advises federal clients on integrating security activities throughout the software development lifecycle to enable the…
Deloitte,Salesforce Senior Consultant,Houston, TX 77002 (Downtown area),,Experience using agile development methodology to conceptualize and deliver software.Must be legally authorized to work in the United States without the need…
Division of Information Technology - NYC...,IT Product Manager with SQL/ HL7 experience,Queens, NY 11101,"$80,000 - $110,000 a year",Ability to troubleshoot issues in a multitier software applications environment.\*\*This a consulting position hired through the Fund for Public Health New…
Image Management,Front End Web Developer,Racine, WI 53403,"$50,000 - $65,000 a year","SEO knowledge and content writing a plus.Experience with HTML, CSS, PHP and Javascript is required.Knowledge of CMS (i.e. WordPress or Drupal) or Google Ads…"
DISH,IT Manager,Englewood, CO 80112,"$77,100 a year","Determine, identify and troubleshoot technical problems relating to software, Install and configure software programs and applications."
Backblaze,Lead Software Engineer,San Mateo, CA 94401 (Downtown area),,"Customer Focused (!!) — always focus on the customer’s point of view and how to solve their problem!Passionate about building friendly, easy to use Interfaces…"
"JPMorgan Chase Bank, N.A.",Enterprise Service Integration Lead,Apple Valley, CA 92307,,"Our team is responsible for making cloud services available within the bank, leveraging native services from multiple cloud service providers to deploy scalable…"
University of Maryland Medical System,"Lead Engineer - Innovation, Architecture, and Design",Columbia, MD 21045,,"The incumbent will serve as a member of the UMMS IS&T Innovation, Architecture, and Design (I,A&D) team.The incumbent is accountable for budgeting, design, and…"
"JPMorgan Chase Bank, N.A.",Senior Program Manager,Tampa, FL,,"Once you and your team establish a roadmap, you'll play an integral role in ensuring that the project is running on time, within budget, and in accordance with…"
"Mastery Logistics Systems, Inc.",Agile Project Manager,Omaha, NE 68137,,"2+ years of experience leading or managing teams and projects in a software environment.In this role, you will lead engineering teams and work closely with…"
Continental AG,Applications Engineer,Carpinteria, CA 93013,,The ideal candidate has experience in hardware design & familiarity with software interfaces.Continental Automotive is one of the largest automotive…
Publicis Sapient,Senior Java Developer,New York, NY 10014 (SoHo area),,"Develop specification documentation that allows for implementation in software development.Develop relationships across a project team, specifically technical…"
TD Bank,"Audit Manager I, Data and Risk Management COE",Falmouth, ME,,"We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live in and serve, and creating an environment…"
Messenger,"UX Researcher, Messenger (Quantitative)",New York, NY,,"At the heart of what we do is helping people connect with family, friends, and their community by building world class communication tools."
Los Angeles Recruiting Battalion,Cyber Operations Specialist (FT),Encino, CA,"$35,000 - $95,000 a year","While its true the Army prepares each and every Soldier with the tools and abilities to defend the country in times of need, it also prepares them for much more…"
University of California San Francisco,IT Project Analyst,San Francisco, CA 94143 (Inner Sunset area),,Basic knowledge of secure software development.Demonstrated ability to create software specifications.Demonstrated skill at administering moderately complex…
